run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_layout	library_selection	fastq_md5	fastq_ftp	submitted_ftp	sample_alias	sample_title
SRR1164476	SAMN02315579	SRX467052	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	a77a379629853f5d7cf2599462d06305	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/006/SRR1164476/SRR1164476.fastq.gz		GSM1206887	dTBP_0-8h_embryonic_ChIP-seq_ChIP_Rep2
SRR1164480	SAMN02315575	SRX467056	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	287c5dd2afc9535db5113d33b9590ab8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/000/SRR1164480/SRR1164480.fastq.gz		GSM1206891	TCF_nonISO1_0-8_embryonic_ChIP-seq_ChIP_Rep2
SRR1164484	SAMN02315586	SRX467060	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	bebfc5befec6da04db275a22a3070be8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/004/SRR1164484/SRR1164484.fastq.gz		GSM1206895	TCF_W3L_ChIP-seq_ChIP_Rep1
SRR1164487	SAMN02315583	SRX467063	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	6e05b16c43f73fd4ba20c263664b9ce5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/007/SRR1164487/SRR1164487.fastq.gz		GSM1206898	TCF_WPP_ChIP-seq_Input_Rep1
SRR1164488	SAMN02315585	SRX467064	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	5e6f3ae0afd05393ea15c2bde3b208bb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/008/SRR1164488/SRR1164488.fastq.gz		GSM1206899	TCF_WPP_ChIP-seq_Input_Rep2
SRR1164492	SAMN02315581	SRX467068	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	43768a6de228940ee3e2b16c9584f851	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/002/SRR1164492/SRR1164492.fastq.gz		GSM1206903	TCF_WPP_ChIP-seq_ChIP_Rep3
SRR1164520	SAMN02390122	SRX467096	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	da6ea59f84e8ba2301cefb232a446c73	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/000/SRR1164520/SRR1164520.fastq.gz		GSM1256854	BEAF-HB.14-16 hr OR embryo D.melanogaster Input Rep2
SRR1164522	SAMN02390138	SRX467098	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	6090c7d1ee59b893799fe5c2694bfc99	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/002/SRR1164522/SRR1164522.fastq.gz		GSM1256856	BEAF-HB.14-16 hr OR embryo D.melanogaster ChIP Rep1
SRR1164523	SAMN02390119	SRX467099	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	ccf88aa5fc4a8b10858eeb617f6d7cfc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/003/SRR1164523/SRR1164523.fastq.gz		GSM1256857	JMJD2A-KDM4A Q2541 3rd Instar Larvae D.melanogaster Input Rep1
SRR1164529	SAMN02390121	SRX467105	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	f1c0c862eca3ba6d9a8a15edb4f902a6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/009/SRR1164529/SRR1164529.fastq.gz		GSM1256863	POF (MO 459) 3rd Instar Larvae D.melanogaster ChIP Rep1
SRR1164530	SAMN02390118	SRX467106	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	4e0fdb14d729e43d001042a93d376750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/000/SRR1164530/SRR1164530.fastq.gz		GSM1256864	POF (MO 459) 3rd Instar Larvae D.melanogaster ChIP Rep2
SRR1164533	SAMN02390120	SRX467109	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	813c8d72bc5806f478d85902beda4fba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/003/SRR1164533/SRR1164533.fastq.gz		GSM1256867	Smc3 Q2580 3rd Instar Larvae D.melanogaster ChIP Rep1
SRR1164536	SAMN02390124	SRX467112	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	22997caa5e92887d698a695b3756108b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/006/SRR1164536/SRR1164536.fastq.gz		GSM1256870	H2AV 9751 S2-DRSC H2AV RNAi D.melanogaster Input Rep2
SRR1164537	SAMN02390139	SRX467113	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	ca80f8b4747900651f86cf6dd0607edf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/007/SRR1164537/SRR1164537.fastq.gz		GSM1256871	H2AV 9751 S2-DRSC H2AV RNAi D.melanogaster ChIP Rep1
SRR1164539	SAMN02390125	SRX467115	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	6219308ec345d8c7e4c96d771a0baedf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/009/SRR1164539/SRR1164539.fastq.gz		GSM1256873	H2AV 9751 S2-DRSC GFP RNAi D.melanogaster Input Rep1
SRR1164545	SAMN02390129	SRX467121	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	903b0fd216b7bc5d8a74d02007a80f52	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/005/SRR1164545/SRR1164545.fastq.gz		GSM1256879	H3K36me2 W ML-DmBG3-c2 D.melanogaster ChIP Rep2
SRR1164546	SAMN02390140	SRX467122	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	db01823c77353d211292adf86044ab9a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/006/SRR1164546/SRR1164546.fastq.gz		GSM1256880	H3K36me2 W ML-DmBG3-c2 D.melanogaster ChIP Rep1
SRR1198674	SAMN02336915	SRX495169	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	39ddea6d885ac0c098a55c5ce547099e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/004/SRR1198674/SRR1198674.fastq.gz		GSM1217549	homothorax_0-8h_embryo_ChIP-seq_Input_Rep1
SRR1198676	SAMN02336921	SRX495171	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	52353d23100681aff1ee5ecf0f714e2b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/006/SRR1198676/SRR1198676.fastq.gz		GSM1217551	homothorax_0-8h_embryo_ChIP-seq_ChIP_Rep1
SRR1198677	SAMN02336913	SRX495172	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	8da6a3e725e8d1d3213373b58d73ea78	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/007/SRR1198677/SRR1198677.fastq.gz		GSM1217552	homothorax_0-8h_embryo_ChIP-seq_ChIP_Rep2
SRR1198681	SAMN02336894	SRX495176	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	2d301c7c92d593d18b945e00a6bddd90	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/001/SRR1198681/SRR1198681.fastq.gz		GSM1217556	scute_0-8h_embryo_ChIP-seq_ChIP_Rep2
SRR1198683	SAMN02336903	SRX495178	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	b3df2398b42bcd9a989d2562349aa662	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/003/SRR1198683/SRR1198683.fastq.gz		GSM1217566	broad_0-8h_embryo_ChIP-seq_Input_Rep2
SRR1198685	SAMN02336891	SRX495180	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	4c6192d8133647a12a4ace4bbace6e7e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/005/SRR1198685/SRR1198685.fastq.gz		GSM1217568	broad_0-8h_embryo_ChIP-seq_ChIP_Rep2
SRR1198688	SAMN02336878	SRX495183	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	1254ad966568ee86f7ae6415a6f8be03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/008/SRR1198688/SRR1198688.fastq.gz		GSM1217571	CG16778_0-8h_embryo_ChIP-seq_ChIP_Rep1
SRR1198690	SAMN02336887	SRX495185	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	aed9fe2728fa12dd5e756b998d736bfe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/000/SRR1198690/SRR1198690.fastq.gz		GSM1217573	CG8478_WPP_ChIP-seq_Input_Rep1
SRR1198693	SAMN02336858	SRX495188	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	b83ff31724aa3779a6045a0e7888e6f8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/003/SRR1198693/SRR1198693.fastq.gz		GSM1217576	CG8478_WPP_ChIP-seq_ChIP_Rep2
SRR1198695	SAMN02336875	SRX495190	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	07118b989ac22de37a97542e56c39c38	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/005/SRR1198695/SRR1198695.fastq.gz		GSM1217578	CNC_16-24-seq_Input_Rep2
SRR1198703	SAMN02336864	SRX495198	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	8f78603239e363ed4b563349d45b9e45	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/003/SRR1198703/SRR1198703.fastq.gz		GSM1217586	Fru_0-8-seq_Input_Rep2
SRR1198705	SAMN02336839	SRX495200	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	7ffd6213c997aae8cb37dd602d5dc14b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/005/SRR1198705/SRR1198705.fastq.gz		GSM1217588	Fru_0-8-seq_ChIP_Rep2
SRR1198713	SAMN02336849	SRX495208	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	c2f476707e5fbd48cf5873b3f3c8320b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/003/SRR1198713/SRR1198713.fastq.gz		GSM1217596	Prd-RF12_0-12-seq_ChIP_Rep2
SRR1198714	SAMN02336851	SRX495209	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	57cc6e6d24eb97ad8659a976d9004c0e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/004/SRR1198714/SRR1198714.fastq.gz		GSM1217597	Prd-RF13_0-12-seq_Input_Rep1
SRR1198716	SAMN02336846	SRX495211	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	32f33da8279b68a1060681ed26345080	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/006/SRR1198716/SRR1198716.fastq.gz		GSM1217599	Prd-RF13_0-12-seq_ChIP_Rep1
SRR1198720	SAMN02336845	SRX495215	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	1ced41f4ff2234da4aa78b670d301038	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/000/SRR1198720/SRR1198720.fastq.gz		GSM1217603	psq_WPP-seq_ChIP_Rep1
SRR1198727	SAMN02336938	SRX495222	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	8bb7a7c1fb0f8d4380dadbe84445fb92	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/007/SRR1198727/SRR1198727.fastq.gz		GSM1217610	Sin3A_Kc-seq_Input_Rep2
SRR1198738	SAMN02336934	SRX495233	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	52e2e444c20368a4e5f1fd1b952794b6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/008/SRR1198738/SRR1198738.fastq.gz		GSM1217621	Su(Hw)_WPP-seq_Input_Rep1
SRR1198747	SAMN02336925	SRX495242	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	7ad9858270f17dd751beba5257560e85	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/007/SRR1198747/SRR1198747.fastq.gz		GSM1217630	Usp_W3L_Input_Rep2
SRR1198748	SAMN02336920	SRX495243	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	ba982ed22b0bdaf832a8f3e381237589	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/008/SRR1198748/SRR1198748.fastq.gz		GSM1217631	Usp_W3L_ChIP_Rep1
SRR1198761	SAMN02336833	SRX495256	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	4e4a239d855a99e8f20d1e616352f90b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/001/SRR1198761/SRR1198761.fastq.gz		GSM1217644	H3K4me3_WPP-seq_Input_Rep2
SRR1198762	SAMN02336830	SRX495257	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	f1e4b11fd5abb9cc4168f05f5b921f5c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/002/SRR1198762/SRR1198762.fastq.gz		GSM1217645	H3K4me3_WPP-seq_ChIP_Rep1
SRR1198765	SAMN02336943	SRX495260	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	b2b6f2d69c63dc89444c39923d4b5f2d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/005/SRR1198765/SRR1198765.fastq.gz		GSM1217648	Abd-B-GFP_vMock_W3L_ChIP-seq_Input_Rep2
SRR1198769	SAMN02336955	SRX495264	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	90b70d47963e02853fdbabeff41d8124	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/009/SRR1198769/SRR1198769.fastq.gz		GSM1217652	Abd-B-GFP_W3L_ChIP-seq_Input_Rep2
SRR1198770	SAMN02336948	SRX495265	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	e9a2c82a6eab2dde58670176990639c9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/000/SRR1198770/SRR1198770.fastq.gz		GSM1217653	Abd-B-GFP_W3L_ChIP-seq_ChIP_Rep1
SRR1198775	SAMN02336952	SRX495270	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	b75cfb891812548a8f6f577cc8dedb4e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/005/SRR1198775/SRR1198775.fastq.gz		GSM1217658	CG8478_S2_cells_ChIP-seq_ChIP_Rep2
SRR1198776	SAMN02336944	SRX495271	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	29e69d854f154ec861a52c316a55150a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/006/SRR1198776/SRR1198776.fastq.gz		GSM1217659	cmi_0-8h_embryonic_ChIP-seq_Input_Rep1
SRR1198779	SAMN02336838	SRX495274	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	118fc445c1bdc95b3f91342a91266c02	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/009/SRR1198779/SRR1198779.fastq.gz		GSM1217662	cmi_0-8h_embryonic_ChIP-seq_ChIP_Rep2
SRR1198784	SAMN02336797	SRX495279	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	7b74a32419174c41ea7bab65bc830861	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/004/SRR1198784/SRR1198784.fastq.gz		GSM1217667	H3K4me1_W3L_ChIP-seq_Input_Rep1
SRR1198786	SAMN02336800	SRX495281	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	0b711fede71d4549e5daaf5ddb249430	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/006/SRR1198786/SRR1198786.fastq.gz		GSM1217669	H3K4me1_W3L_ChIP-seq_ChIP_Rep1
SRR1198792	SAMN02336836	SRX495287	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	1eb916fbb016111744846611a6191e88	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/002/SRR1198792/SRR1198792.fastq.gz		GSM1217675	H3K4me3_S2_cells_ChIP-seq_Input_Rep1
SRR1198796	SAMN02336801	SRX495291	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	26e28f161f447569a3a510d13402b7a4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/006/SRR1198796/SRR1198796.fastq.gz		GSM1217679	Hr78-GFP_8-16_embryonic_ChIP-seq_Input_Rep1
SRR1198799	SAMN02336825	SRX495294	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	29279cea95e1c5fdf979b33463090c79	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/009/SRR1198799/SRR1198799.fastq.gz		GSM1217682	Hr78-GFP_8-16_embryonic_ChIP-seq_ChIP_Rep2
SRR1198801	SAMN02336813	SRX495296	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	adc6682821cc3b797214f48594e887df	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/001/SRR1198801/SRR1198801.fastq.gz		GSM1217684	insv_Kc_cells_ChIP-seq_Input_Rep2
SRR1198806	SAMN02336806	SRX495301	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	84470f52f7d866816f60e86eba0d7a27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/006/SRR1198806/SRR1198806.fastq.gz		GSM1217690	lola-PI-GFP_W3L_ChIP-seq_Input_Rep2
SRR1198810	SAMN02336884	SRX495305	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	2d57f4eed6e31438c3ea28e5d09b76fa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/000/SRR1198810/SRR1198810.fastq.gz		GSM1217694	Notch-GFP_W3L_ChIP-seq_Input_Rep2
SRR1198813	SAMN02336882	SRX495308	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	ec7ba95b0c6d8b0e6fba61b5ec4d739d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/003/SRR1198813/SRR1198813.fastq.gz		GSM1217697	Trl_8-16h_embryonic_ChIP-seq_Input_Rep1
SRR1198816	SAMN02336883	SRX495311	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	3ea5980be7a99d5f3353ebeba83a7102	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/006/SRR1198816/SRR1198816.fastq.gz		GSM1217700	Trl_8-16h_embryonic_ChIP-seq_ChIP_Rep1
SRR1198818	SAMN02336879	SRX495313	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	40fcc3bf3b2b917b2d55a5f8c7d61705	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/008/SRR1198818/SRR1198818.fastq.gz		GSM1217702	Trl_8-16h_embryonic_ChIP-seq_ChIP_Rep3
SRR1198819	SAMN02336880	SRX495314	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	4ee3ae13f007bbb3342c6fd37aedd53d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/009/SRR1198819/SRR1198819.fastq.gz		GSM1217703	yki_8-16h_embryonic_ChIP-seq_Input_Rep1
SRR1198820	SAMN02336863	SRX495315	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	fdf6e95e2591cf835f626c5b8ad78a80	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/000/SRR1198820/SRR1198820.fastq.gz		GSM1217704	yki_8-16h_embryonic_ChIP-seq_Input_Rep2
SRR1198821	SAMN02336881	SRX495316	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	1bed897f07ef45f9743069758b560d83	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/001/SRR1198821/SRR1198821.fastq.gz		GSM1217705	yki_8-16h_embryonic_ChIP-seq_Input_Rep3
SRR1198824	SAMN02336895	SRX495319	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	7c92bb10c409ffe050c9cad02b09e7c6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/004/SRR1198824/SRR1198824.fastq.gz		GSM1217559	TCF_0-8h_embryo_ChIP-seq_ChIP_Rep1
SRR1199474	SAMN02484481	SRX495776	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	b7a3f96b4601c794bb45c40d17bf8331	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/004/SRR1199474/SRR1199474.fastq.gz		GSM1296153	HP1 8-16h embryonic D.melanogaster Input
SRR1199475	SAMN02484463	SRX495777	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	daf3db6177bc9aacf4d381a653bf9e04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/005/SRR1199475/SRR1199475.fastq.gz		GSM1296154	HP1 8-16h embryonic D.melanogaster ChIP Rep1
SRR1199477	SAMN02484464	SRX495779	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	c2e52153dab24da2d06773625a94f2ee	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/007/SRR1199477/SRR1199477.fastq.gz		GSM1296157	H Kc167 late embryonic D.melanogaster ChIP Rep1
SRR1199483	SAMN02484471	SRX495785	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	2238df21250709d5ae4052cb5a9399b1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/003/SRR1199483/SRR1199483.fastq.gz		GSM1296163	dMyc Kc167 late embryonic D.melanogaster Input
SRR1199485	SAMN02484491	SRX495787	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	200b238affa0a25ca7b193f796a2dd94	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/005/SRR1199485/SRR1199485.fastq.gz		GSM1296165	dMyc Kc167 late embryonic D.melanogaster ChIP Rep2
SRR1199486	SAMN02484470	SRX495788	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	fd517ea207e5746041370c3fb04e25cb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/006/SRR1199486/SRR1199486.fastq.gz		GSM1296166	dMyc S2-DRSC late embryonic D.melanogaster Input
SRR1199491	SAMN02484487	SRX495793	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	47d7b50d4d3af2c9a1e2eb75474104de	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/001/SRR1199491/SRR1199491.fastq.gz		GSM1296171	Su(H) Kc167 late embryonic D.melanogaster ChIP Rep2
SRR121517	SAMN00217064	SRX046652	PRJNA63467	7227	Drosophila melanogaster	GSM685604: Input-s1..s7	SINGLE	ChIP	57e938b16833f02c22a4ac2ba6ba84fe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/SRR121517/SRR121517.fastq.gz		GSM685604	Input-s1..s7
SRR121522	SAMN00217064	SRX046652	PRJNA63467	7227	Drosophila melanogaster	GSM685604: Input-s1..s7	SINGLE	ChIP	2ba9b614f6863d8dcfe9182a0bfa761a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/SRR121522/SRR121522.fastq.gz		GSM685604	Input-s1..s7
SRR121526	SAMN00217067	SRX046653	PRJNA63467	7227	Drosophila melanogaster	GSM685607: H3K36me3-s1..s7	SINGLE	ChIP	d59f52fad8d43093333fb60bdd96699b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/SRR121526/SRR121526.fastq.gz		GSM685607	H3K36me3-s1..s7
SRR121527	SAMN00217067	SRX046653	PRJNA63467	7227	Drosophila melanogaster	GSM685607: H3K36me3-s1..s7	SINGLE	ChIP	90a8f2dd559dc0232315362a95c6e320	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/SRR121527/SRR121527.fastq.gz		GSM685607	H3K36me3-s1..s7
SRR121529	SAMN00217067	SRX046653	PRJNA63467	7227	Drosophila melanogaster	GSM685607: H3K36me3-s1..s7	SINGLE	ChIP	0f78e82397ce84520882b52773c7210d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/SRR121529/SRR121529.fastq.gz		GSM685607	H3K36me3-s1..s7
SRR121536	SAMN00217070	SRX046654	PRJNA63467	7227	Drosophila melanogaster	GSM685610: SuHw-s1..s7	SINGLE	ChIP	3de3c41ed060f35fc9c037a94088c659	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/SRR121536/SRR121536.fastq.gz		GSM685610	SuHw-s1..s7
