sample_name,life_stage_age,simple_biosample_summary,target,input
Atf-2_ENCSR963YPQ_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Atf-2-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Atf-2,Atf-2,input_ENCSR950VOB_rep1
Atf-2_ENCSR963YPQ_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Atf-2-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Atf-2,Atf-2,input_ENCSR950VOB_rep1
CG10147_ENCSR599WVE_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG10147-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10147,CG10147,input_ENCSR280HPE_rep1
CG10147_ENCSR599WVE_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG10147-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10147,CG10147,input_ENCSR280HPE_rep1
CG10462_ENCSR864LDV_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG10462-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10462,CG10462,input_ENCSR778ELF_rep1
CG10462_ENCSR864LDV_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG10462-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10462,CG10462,input_ENCSR778ELF_rep1
CG10631_ENCSR751FSX_rep2,NA,prepupa strain CG10631-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10631  at white prepupa stage,CG10631,input_ENCSR520BTD_rep1
CG10631_ENCSR751FSX_rep3,NA,prepupa strain CG10631-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10631  at white prepupa stage,CG10631,input_ENCSR520BTD_rep1
CG10979_ENCSR155UQM_rep2,embryonic 0-14 hours,mixed sex embryo (0-14 hours) attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10979,CG10979,input_ENCSR808XII_rep1
CG10979_ENCSR155UQM_rep3,embryonic 0-14 hours,mixed sex embryo (0-14 hours) attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10979,CG10979,input_ENCSR808XII_rep1
CG11617_ENCSR287NIU_rep2,NA,mixed sex adult strain CG11617-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG11617,CG11617,input_ENCSR072FJD_rep1
CG11617_ENCSR287NIU_rep3,NA,mixed sex adult strain CG11617-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG11617,CG11617,input_ENCSR072FJD_rep1
CG12744_ENCSR950LBC_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG12744-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12744,CG12744,input_ENCSR075LYH_rep1
CG12744_ENCSR950LBC_rep4,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG12744-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12744,CG12744,input_ENCSR075LYH_rep1
CG12769_ENCSR964YKJ_rep5,embryonic 10-24 hours,mixed sex embryo (10-24 hours) strain CG12769 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12769,CG12769,input_ENCSR941FHT_rep1
CG12769_ENCSR964YKJ_rep7,embryonic 10-24 hours,mixed sex embryo (10-24 hours) strain CG12769 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12769,CG12769,input_ENCSR941FHT_rep1
CG13123_ENCSR982RGH_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG13123-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13123,CG13123,input_ENCSR685DWE_rep1
CG13123_ENCSR982RGH_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG13123-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13123,CG13123,input_ENCSR685DWE_rep1
CG13204_ENCSR476TPB_rep2,pupa 24 hours,mixed sex pupa (24 hours) strain CG13204-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13204,CG13204,input_ENCSR842BMI_rep1
CG13204_ENCSR476TPB_rep3,pupa 24 hours,mixed sex pupa (24 hours) strain CG13204-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13204,CG13204,input_ENCSR842BMI_rep1
CG14711_ENCSR187IVR_rep3,NA,female adult attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14711,CG14711,input_ENCSR730QLJ_rep1
CG14711_ENCSR187IVR_rep4,NA,female adult attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14711,CG14711,input_ENCSR730QLJ_rep1
CG14965_ENCSR354KRW_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG14965-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14965,CG14965,input_ENCSR311GKZ_rep1
CG14965_ENCSR354KRW_rep4,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG14965-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14965,CG14965,input_ENCSR311GKZ_rep1
CG15073_ENCSR340CQF_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG15073-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG15073,CG15073,input_ENCSR020AAP_rep1
CG15073_ENCSR340CQF_rep4,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG15073-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG15073,CG15073,input_ENCSR020AAP_rep1
CG15269_ENCSR484ZCC_rep2,embryonic 6-18 hours,mixed sex embryo (6-18 hours) VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG15269,CG15269,input_ENCSR076KHT_rep1
CG15269_ENCSR484ZCC_rep3,embryonic 6-18 hours,mixed sex embryo (6-18 hours) VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG15269,CG15269,input_ENCSR076KHT_rep1
CG1603_ENCSR680NFF_rep2,embryonic 0-16 hours,mixed sex embryo (0-16 hours) strain CG1603 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1603,CG1603,input_ENCSR865FZO_rep1
CG1603_ENCSR680NFF_rep3,embryonic 0-16 hours,mixed sex embryo (0-16 hours) strain CG1603 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1603,CG1603,input_ENCSR865FZO_rep1
CG1620_ENCSR551YOZ_rep2,NA,female adult strain CG1620-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1620,CG1620,input_ENCSR342HXN_rep1
CG1620_ENCSR551YOZ_rep3,NA,female adult strain CG1620-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1620,CG1620,input_ENCSR342HXN_rep1
CG17829_ENCSR810MLF_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG17829 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG17829,CG17829,input_ENCSR130GIJ_rep1
CG17829_ENCSR810MLF_rep4,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG17829 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG17829,CG17829,input_ENCSR130GIJ_rep1
CG1792_ENCSR247CPK_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG1792-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1792,CG1792,input_ENCSR801NWY_rep1
CG1792_ENCSR247CPK_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG1792-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1792,CG1792,input_ENCSR801NWY_rep1
CG1832_ENCSR858HYS_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG1832-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Clamp,CG1832,input_ENCSR866WVF_rep1
CG1832_ENCSR858HYS_rep4,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG1832-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Clamp,CG1832,input_ENCSR866WVF_rep1
CG30020_ENCSR317XOG_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG30020 VK00031 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG30020,CG30020,input_ENCSR555KVU_rep1
CG30020_ENCSR317XOG_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG30020 VK00031 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG30020,CG30020,input_ENCSR555KVU_rep1
CG3032_ENCSR673MPB_rep2,prepupa 24 hours,mixed sex prepupa (24 hours) strain CG3032 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG3032,CG3032,input_ENCSR409KGR_rep1
CG3032_ENCSR673MPB_rep3,prepupa 24 hours,mixed sex prepupa (24 hours) strain CG3032 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG3032,CG3032,input_ENCSR409KGR_rep1
CG31365_ENCSR313TWF_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG31365 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG31365,CG31365,input_ENCSR027VEH_rep1
CG31365_ENCSR313TWF_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG31365 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG31365,CG31365,input_ENCSR027VEH_rep1
CG31388_ENCSR360TFL_rep2,embryonic 0-16 hours,mixed sex embryo (0-16 hours) strain CG31388-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG31388,CG31388,input_ENCSR023XBU_rep1
CG31388_ENCSR360TFL_rep4,embryonic 0-16 hours,mixed sex embryo (0-16 hours) strain CG31388-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG31388,CG31388,input_ENCSR023XBU_rep1
CG33557_ENCSR214LWK_rep2,embryonic 4-10 hours,mixed sex embryo (4-10 hours) strain CG33557-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG33557,CG33557,input_ENCSR774SAN_rep1
CG33557_ENCSR214LWK_rep3,embryonic 4-10 hours,mixed sex embryo (4-10 hours) strain CG33557-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG33557,CG33557,input_ENCSR774SAN_rep1
CG34376_ENCSR833EEQ_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG34376-GFP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG34376,CG34376,input_ENCSR303RFP_rep1
CG34376_ENCSR833EEQ_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG34376-GFP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG34376,CG34376,input_ENCSR303RFP_rep1
CG4282_ENCSR713FWS_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG4282-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4282,CG4282,input_ENCSR283AVD_rep1
CG4282_ENCSR713FWS_rep4,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG4282-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4282,CG4282,input_ENCSR283AVD_rep1
CG4707_ENCSR302AQS_rep2,embryonic 0-14 hours,mixed sex embryo (0-14 hours) strain CG4707-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4707,CG4707,input_ENCSR114LFX_rep1
CG4707_ENCSR302AQS_rep3,embryonic 0-14 hours,mixed sex embryo (0-14 hours) strain CG4707-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4707,CG4707,input_ENCSR114LFX_rep1
CG4854_ENCSR860FUA_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG4854-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4854,CG4854,input_ENCSR100SUV_rep1
CG4854_ENCSR860FUA_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG4854-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4854,CG4854,input_ENCSR100SUV_rep1
CG6276_ENCSR255PHG_rep2,prepupa 72 days,mixed sex prepupa (72 days) strain CG6276-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6276,CG6276,input_ENCSR377KXD_rep1
CG6276_ENCSR255PHG_rep4,prepupa 72 days,mixed sex prepupa (72 days) strain CG6276-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6276,CG6276,input_ENCSR377KXD_rep1
CG6683_ENCSR519DDL_rep2,embryonic 6-24 hours,mixed sex embryo (6-24 hours) strain CG6683-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6683,CG6683,input_ENCSR964CND_rep1
CG6683_ENCSR519DDL_rep3,embryonic 6-24 hours,mixed sex embryo (6-24 hours) strain CG6683-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6683,CG6683,input_ENCSR964CND_rep1
CG6813_ENCSR652KCU_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG6813-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6813,CG6813,input_ENCSR431TEW_rep1
CG6813_ENCSR652KCU_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG6813-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6813,CG6813,input_ENCSR431TEW_rep1
CG6854_ENCSR660AYK_rep2,NA,mixed sex prepupa strain CG6854-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CTPsyn,CG6854,input_ENCSR431JLY_rep1
CG6854_ENCSR660AYK_rep3,NA,mixed sex prepupa strain CG6854-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CTPsyn,CG6854,input_ENCSR431JLY_rep1
CG7271_ENCSR924PXF_rep2,embryonic 0-4 hours,embryo (0-4 hours) strain CG7271 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG7271,CG7271,input_ENCSR282UQU_rep1
CG7271_ENCSR924PXF_rep3,embryonic 0-4 hours,embryo (0-4 hours) strain CG7271 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG7271,CG7271,input_ENCSR282UQU_rep1
CG7745_ENCSR060CFV_rep2,embryonic 0-12 hours,embryo (0-12 hours) strain CG7745 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG7745,CG7745,input_ENCSR551PYQ_rep1
CG7745_ENCSR060CFV_rep3,embryonic 0-12 hours,embryo (0-12 hours) strain CG7745 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG7745,CG7745,input_ENCSR551PYQ_rep1
CG7786_ENCSR776AVR_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG7786-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG7786,CG7786,input_ENCSR841LDV_rep1
CG7786_ENCSR776AVR_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG7786-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG7786,CG7786,input_ENCSR841LDV_rep1
CG7928_ENCSR399FPR_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG7928-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster ZIPIC,CG7928,input_ENCSR233YTV_rep1
CG7928_ENCSR399FPR_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG7928-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster ZIPIC,CG7928,input_ENCSR233YTV_rep1
CG8089_ENCSR764LDS_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG8089-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8089,CG8089,input_ENCSR562KLY_rep1
CG8089_ENCSR764LDS_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG8089-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8089,CG8089,input_ENCSR562KLY_rep1
CG8089_ENCSR764LDS_rep4,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG8089-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8089,CG8089,input_ENCSR562KLY_rep1
CG8290_ENCSR856SZD_rep2,embryonic 0-14 hours,mixed sex embryo (0-14 hours) strain CG8290 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster ADD1,CG8290,input_ENCSR235ERJ_rep1
CG8290_ENCSR856SZD_rep3,embryonic 0-14 hours,mixed sex embryo (0-14 hours) strain CG8290 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster ADD1,CG8290,input_ENCSR235ERJ_rep1
CG8359_ENCSR335WXQ_rep2,embryonic 0-14 hours,mixed sex embryo (0-14 hours) strain CG8359-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster hng2,CG8359,input_ENCSR215MXM_rep1
CG8359_ENCSR335WXQ_rep3,embryonic 0-14 hours,mixed sex embryo (0-14 hours) strain CG8359-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster hng2,CG8359,input_ENCSR215MXM_rep1
CG8388_ENCSR551HEY_rep2,embryonic 0-14 hours,mixed sex embryo (0-14 hours) strain CG8388-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8388,CG8388,input_ENCSR139WZD_rep1
CG8388_ENCSR551HEY_rep3,embryonic 0-14 hours,mixed sex embryo (0-14 hours) strain CG8388-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8388,CG8388,input_ENCSR139WZD_rep1
CHES-1-like_ENCSR791TWT_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CHES-1-like-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CHES-1-like,CHES-1-like,input_ENCSR946VOY_rep1
CHES-1-like_ENCSR791TWT_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CHES-1-like-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CHES-1-like,CHES-1-like,input_ENCSR946VOY_rep1
CTCF_ENCSR661BEZ_rep2,embryonic 0-16 hours,mixed sex embryo (0-16 hours) strain CTCF-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CTCF,CTCF,input_ENCSR163RIQ_rep1
CTCF_ENCSR661BEZ_rep3,embryonic 0-16 hours,mixed sex embryo (0-16 hours) strain CTCF-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CTCF,CTCF,input_ENCSR163RIQ_rep1
Camta_ENCSR568EBW_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Camta-MiMIC-GFP MI04570 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Camta,Camta,input_ENCSR355TQJ_rep1
Camta_ENCSR568EBW_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Camta-MiMIC-GFP MI04570 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Camta,Camta,input_ENCSR355TQJ_rep1
CrebA_ENCSR168NHD_rep2,NA,mixed sex wandering third instar larva strain CrebA-MiMIC-GFP MI06441 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CrebA,CrebA,input_ENCSR920JDE_rep1
CrebA_ENCSR168NHD_rep4,NA,mixed sex wandering third instar larva strain CrebA-MiMIC-GFP MI06441 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CrebA,CrebA,input_ENCSR920JDE_rep1
Crg-1_ENCSR596YNC_rep2,NA,mixed sex adult strain Crg-1-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Crg-1,Crg-1,input_ENCSR898AGW_rep1
Crg-1_ENCSR596YNC_rep3,NA,mixed sex adult strain Crg-1-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Crg-1,Crg-1,input_ENCSR898AGW_rep1
D19B_ENCSR615RMC_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain D19B-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster D19B,D19B,input_ENCSR499HRQ_rep1
D19B_ENCSR615RMC_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain D19B-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster D19B,D19B,input_ENCSR499HRQ_rep1
Dif_ENCSR748ZJA_rep3,NA,mixed sex wandering third instar larva strain Dif-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Dif,Dif,input_ENCSR046BPV_rep1
Dif_ENCSR748ZJA_rep4,NA,mixed sex wandering third instar larva strain Dif-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Dif,Dif,input_ENCSR046BPV_rep1
E.spl.m3-HLH_ENCSR671XAK_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain E(spl)m3-HLH-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)m3-HLH,E(spl)m3-HLH,input_ENCSR782YFF_rep1
E.spl.m3-HLH_ENCSR671XAK_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain E(spl)m3-HLH-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)m3-HLH,E(spl)m3-HLH,input_ENCSR782YFF_rep1
E.spl.m5-HLH_ENCSR641KZS_rep3,embryonic 0-12 hours,mixed sex embryo (0-12 hours) strain E(spl)m5-GFP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)m5-HLH,E(spl)m5-HLH,input_ENCSR158HVZ_rep1
E.spl.m5-HLH_ENCSR641KZS_rep4,embryonic 0-12 hours,mixed sex embryo (0-12 hours) strain E(spl)m5-GFP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)m5-HLH,E(spl)m5-HLH,input_ENCSR158HVZ_rep1
E.spl.m8-HLH_ENCSR365BOA_rep2,embryonic 4-14 hours,mixed sex embryo (4-14 hours) strain E(spl)m8-HLH attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)m8-HLH,E(spl)m8-HLH,input_ENCSR884AHC_rep1
E.spl.m8-HLH_ENCSR365BOA_rep3,embryonic 4-14 hours,mixed sex embryo (4-14 hours) strain E(spl)m8-HLH attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(spl)m8-HLH,E(spl)m8-HLH,input_ENCSR884AHC_rep1
E.var.3-9_ENCSR929RAT_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain E(var)3-9-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(var)3-9,E(var)3-9,input_ENCSR074VTY_rep1
E.var.3-9_ENCSR929RAT_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain E(var)3-9-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster E(var)3-9,E(var)3-9,input_ENCSR074VTY_rep1
ERR_ENCSR904ALL_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain ERR-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster ERR,ERR,input_ENCSR835OKW_rep1
ERR_ENCSR904ALL_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain ERR-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster ERR,ERR,input_ENCSR835OKW_rep1
Ets96B_ENCSR572JUN_rep2,prepupa 24 hours,mixed sex prepupa (24 hours) strain Ets96B VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Ets96B,Ets96B,input_ENCSR477RDG_rep1
Ets96B_ENCSR572JUN_rep3,prepupa 24 hours,mixed sex prepupa (24 hours) strain Ets96B VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Ets96B,Ets96B,input_ENCSR477RDG_rep1
Fer2_ENCSR605NFY_rep2,embryonic 6-24 hours,embryo (6-24 hours) strain Fer2 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Fer2,Fer2,input_ENCSR610FIQ_rep1
Fer2_ENCSR605NFY_rep3,embryonic 6-24 hours,embryo (6-24 hours) strain Fer2 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Fer2,Fer2,input_ENCSR610FIQ_rep1
GATAd_ENCSR245UCO_rep2,NA,mixed sex wandering third instar larva strain GATAd-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster GATAd,GATAd,input_ENCSR854PLB_rep1
GATAd_ENCSR245UCO_rep3,NA,mixed sex wandering third instar larva strain GATAd-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster GATAd,GATAd,input_ENCSR854PLB_rep1
Hand_ENCSR315AML_rep2,embryonic 6-24 hours,mixed sex embryo (6-24 hours) strain Hand-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Hand,Hand,input_ENCSR102QDH_rep1
Hand_ENCSR315AML_rep3,embryonic 6-24 hours,mixed sex embryo (6-24 hours) strain Hand-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Hand,Hand,input_ENCSR102QDH_rep1
Hmx_ENCSR493LWV_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Hmx-MiMIC-GFP MI02025 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Hmx,Hmx,input_ENCSR132NXK_rep1
Hmx_ENCSR493LWV_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Hmx-MiMIC-GFP MI02025 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Hmx,Hmx,input_ENCSR132NXK_rep1
Hr83_ENCSR239YEX_rep3,NA,mixed sex wandering third instar larva strain Hr83-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Hr83,Hr83,input_ENCSR227MZM_rep1
Hr83_ENCSR239YEX_rep4,NA,mixed sex wandering third instar larva strain Hr83-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Hr83,Hr83,input_ENCSR227MZM_rep1
Kr_ENCSR156QJC_rep2,embryonic 0-10 hours,mixed sex embryo (0-10 hours) strain Kr-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Kr,Kr,input_ENCSR641PEJ_rep1
Kr_ENCSR156QJC_rep3,embryonic 0-10 hours,mixed sex embryo (0-10 hours) strain Kr-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Kr,Kr,input_ENCSR641PEJ_rep1
MTF-1_ENCSR261RKJ_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain MTF-1-GFP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster MTF-1,MTF-1,input_ENCSR657JFQ_rep1
MTF-1_ENCSR261RKJ_rep4,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain MTF-1-GFP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster MTF-1,MTF-1,input_ENCSR657JFQ_rep1
Max_ENCSR672KPS_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Max-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Max,Max,input_ENCSR370HQE_rep1
Max_ENCSR672KPS_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Max-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Max,Max,input_ENCSR370HQE_rep1
Med_ENCSR476LOS_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Med-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Med,Med,input_ENCSR840ESX_rep1
