Experiment accession,sample_name,subsample_name,accession,LIBRARY_LAYOUT,input,life_stage_age,perturbed,protein_tags,simple_biosample_summary,File accession,Controlled by,Biological replicate(s),Technical replicate(s),target,Control.experiment
ENCSR354KRW,CG14965_ENCSR354KRW_rep3,1,https://encode-public.s3.amazonaws.com/2015/07/24/a8ac7053-3b6d-42fb-b1af-40666b348b01/ENCFF210WVK.fastq.gz,SINGLE,input_ENCSR311GKZ_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG14965-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14965,ENCFF210WVK,ENCFF786HKH,3,3_1,CG14965,ENCSR311GKZ
ENCSR354KRW,CG14965_ENCSR354KRW_rep4,1,https://encode-public.s3.amazonaws.com/2015/07/24/0732d24d-34b5-49c0-8ed0-f88e1c730906/ENCFF543UKD.fastq.gz,SINGLE,input_ENCSR311GKZ_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG14965-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14965,ENCFF543UKD,ENCFF786HKH,4,4_1,CG14965,ENCSR311GKZ
ENCSR340CQF,CG15073_ENCSR340CQF_rep3,1,https://encode-public.s3.amazonaws.com/2016/04/09/111414c6-09b6-4966-a9f6-0500773d84bb/ENCFF888KEN.fastq.gz,SINGLE,input_ENCSR020AAP_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG15073-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG15073,ENCFF888KEN,ENCFF611LYX,3,3_1,CG15073,ENCSR020AAP
ENCSR340CQF,CG15073_ENCSR340CQF_rep4,1,https://encode-public.s3.amazonaws.com/2016/04/09/37f812f9-82a9-43af-bd3e-7469d7a0f53a/ENCFF998SGM.fastq.gz,SINGLE,input_ENCSR020AAP_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG15073-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG15073,ENCFF998SGM,ENCFF611LYX,4,4_1,CG15073,ENCSR020AAP
ENCSR484ZCC,CG15269_ENCSR484ZCC_rep2,1,https://encode-public.s3.amazonaws.com/2018/12/07/062ac260-91cf-4f4c-b46e-dcf652979fac/ENCFF216ITG.fastq.gz,SINGLE,input_ENCSR076KHT_rep1,embryonic 6-18 hours,FALSE,eGFP,mixed sex embryo (6-18 hours) VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG15269,ENCFF216ITG,ENCFF270HOB,2,2_1,CG15269,ENCSR076KHT
ENCSR484ZCC,CG15269_ENCSR484ZCC_rep3,1,https://encode-public.s3.amazonaws.com/2018/12/07/8435c982-4fb8-4aa2-bc17-f0aa4af5b1a1/ENCFF655URT.fastq.gz,SINGLE,input_ENCSR076KHT_rep1,embryonic 6-18 hours,FALSE,eGFP,mixed sex embryo (6-18 hours) VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG15269,ENCFF655URT,ENCFF270HOB,3,3_1,CG15269,ENCSR076KHT
ENCSR680NFF,CG1603_ENCSR680NFF_rep2,1,https://encode-public.s3.amazonaws.com/2019/04/12/6a8c22ca-bed1-47d1-bb0a-ca183910abd1/ENCFF468NGL.fastq.gz,SINGLE,input_ENCSR865FZO_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain CG1603 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1603,ENCFF468NGL,ENCFF471MRR,2,2_1,CG1603,ENCSR865FZO
ENCSR680NFF,CG1603_ENCSR680NFF_rep3,1,https://encode-public.s3.amazonaws.com/2019/04/12/85c8e00e-a538-4f08-aa88-64cf507f4e74/ENCFF684IFQ.fastq.gz,SINGLE,input_ENCSR865FZO_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain CG1603 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1603,ENCFF684IFQ,ENCFF471MRR,3,3_1,CG1603,ENCSR865FZO
ENCSR551YOZ,CG1620_ENCSR551YOZ_rep2,1,https://encode-public.s3.amazonaws.com/2015/07/24/88c2359e-5c94-4141-b449-d7959587afc2/ENCFF089GZO.fastq.gz,SINGLE,input_ENCSR342HXN_rep1,NA,FALSE,eGFP,female adult strain CG1620-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1620,ENCFF089GZO,ENCFF472OYN,2,2_1,CG1620,ENCSR342HXN
ENCSR551YOZ,CG1620_ENCSR551YOZ_rep3,1,https://encode-public.s3.amazonaws.com/2015/07/24/e3c34c73-b544-4773-9f51-919e0afb9426/ENCFF024NGE.fastq.gz,SINGLE,input_ENCSR342HXN_rep1,NA,FALSE,eGFP,female adult strain CG1620-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1620,ENCFF024NGE,ENCFF472OYN,3,3_1,CG1620,ENCSR342HXN
ENCSR810MLF,CG17829_ENCSR810MLF_rep2,1,https://encode-public.s3.amazonaws.com/2019/06/17/04c88c9b-5a88-4b68-9db2-4031bb57a99e/ENCFF145JXM.fastq.gz,SINGLE,input_ENCSR130GIJ_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG17829 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG17829,ENCFF145JXM,ENCFF183KQC,2,2_1,CG17829,ENCSR130GIJ
ENCSR810MLF,CG17829_ENCSR810MLF_rep4,1,https://encode-public.s3.amazonaws.com/2019/06/17/c4d679e2-88b9-49ef-a3cd-85d6f1a97234/ENCFF550NXO.fastq.gz,SINGLE,input_ENCSR130GIJ_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG17829 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG17829,ENCFF550NXO,ENCFF183KQC,4,4_1,CG17829,ENCSR130GIJ
ENCSR247CPK,CG1792_ENCSR247CPK_rep2,1,https://encode-public.s3.amazonaws.com/2015/07/24/9b2305ac-6ebe-4e89-ba5f-15704b0b4508/ENCFF392SFO.fastq.gz,SINGLE,input_ENCSR801NWY_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG1792-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1792,ENCFF392SFO,ENCFF228XTK,2,2_1,CG1792,ENCSR801NWY
ENCSR247CPK,CG1792_ENCSR247CPK_rep3,1,https://encode-public.s3.amazonaws.com/2015/07/24/573e295c-38b0-470f-8dba-63cccc5fa0e6/ENCFF378BKS.fastq.gz,SINGLE,input_ENCSR801NWY_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG1792-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1792,ENCFF378BKS,ENCFF228XTK,3,3_1,CG1792,ENCSR801NWY
ENCSR858HYS,CG1832_ENCSR858HYS_rep2,1,https://encode-public.s3.amazonaws.com/2016/08/03/0b929b53-5071-4d05-94f8-52ffa599f2c0/ENCFF623ZSI.fastq.gz,SINGLE,input_ENCSR866WVF_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG1832-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Clamp,ENCFF623ZSI,ENCFF613XAG,2,2_1,CG1832,ENCSR866WVF
ENCSR858HYS,CG1832_ENCSR858HYS_rep4,1,https://encode-public.s3.amazonaws.com/2016/08/03/ceef80c6-f618-4fce-ada2-8d915156972f/ENCFF197RDB.fastq.gz,SINGLE,input_ENCSR866WVF_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG1832-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Clamp,ENCFF197RDB,ENCFF613XAG,4,4_1,CG1832,ENCSR866WVF
ENCSR317XOG,CG30020_ENCSR317XOG_rep2,1,https://encode-public.s3.amazonaws.com/2019/06/17/09ca820c-4106-423b-8732-261d51b11498/ENCFF034KCB.fastq.gz,SINGLE,input_ENCSR555KVU_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG30020 VK00031 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG30020,ENCFF034KCB,ENCFF402HDY,2,2_1,CG30020,ENCSR555KVU
ENCSR317XOG,CG30020_ENCSR317XOG_rep3,1,https://encode-public.s3.amazonaws.com/2019/06/17/01de4064-dfec-4744-999c-8056a59a8251/ENCFF463BNL.fastq.gz,SINGLE,input_ENCSR555KVU_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG30020 VK00031 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG30020,ENCFF463BNL,ENCFF402HDY,3,3_1,CG30020,ENCSR555KVU
ENCSR673MPB,CG3032_ENCSR673MPB_rep2,1,https://encode-public.s3.amazonaws.com/2019/06/17/1c2cca43-6a52-4c55-819f-9090a55525bd/ENCFF203MPV.fastq.gz,SINGLE,input_ENCSR409KGR_rep1,prepupa 24 hours,FALSE,eGFP,mixed sex prepupa (24 hours) strain CG3032 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG3032,ENCFF203MPV,ENCFF799ULH,2,2_1,CG3032,ENCSR409KGR
ENCSR673MPB,CG3032_ENCSR673MPB_rep3,1,https://encode-public.s3.amazonaws.com/2019/06/17/5925c607-e582-4a14-a55a-1c10f5a326ff/ENCFF310ZLF.fastq.gz,SINGLE,input_ENCSR409KGR_rep1,prepupa 24 hours,FALSE,eGFP,mixed sex prepupa (24 hours) strain CG3032 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG3032,ENCFF310ZLF,ENCFF799ULH,3,3_1,CG3032,ENCSR409KGR
ENCSR313TWF,CG31365_ENCSR313TWF_rep2,1,https://encode-public.s3.amazonaws.com/2018/05/29/79721b82-5b35-4f8f-abb4-ffe76e5ff247/ENCFF878MDT.fastq.gz,SINGLE,input_ENCSR027VEH_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG31365 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG31365,ENCFF878MDT,ENCFF107IGM,2,2_1,CG31365,ENCSR027VEH
ENCSR313TWF,CG31365_ENCSR313TWF_rep3,1,https://encode-public.s3.amazonaws.com/2018/05/29/c27e5770-21d8-4da1-8205-8e7664db90a5/ENCFF292GTG.fastq.gz,SINGLE,input_ENCSR027VEH_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG31365 attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG31365,ENCFF292GTG,ENCFF107IGM,3,3_1,CG31365,ENCSR027VEH
ENCSR360TFL,CG31388_ENCSR360TFL_rep2,1,https://encode-public.s3.amazonaws.com/2016/04/09/93aa7e79-44a6-4eb0-981a-8f4e29901169/ENCFF807GQV.fastq.gz,SINGLE,input_ENCSR023XBU_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain CG31388-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG31388,ENCFF807GQV,ENCFF584XFW,2,2_1,CG31388,ENCSR023XBU
ENCSR360TFL,CG31388_ENCSR360TFL_rep4,1,https://encode-public.s3.amazonaws.com/2016/04/09/760b6a1d-cb00-41af-bf06-056a49aefde8/ENCFF006EPS.fastq.gz,SINGLE,input_ENCSR023XBU_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain CG31388-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG31388,ENCFF006EPS,ENCFF584XFW,4,4_1,CG31388,ENCSR023XBU
ENCSR214LWK,CG33557_ENCSR214LWK_rep2,1,https://encode-public.s3.amazonaws.com/2019/04/12/603217a2-dc47-46f2-aa10-c2db10c1b20e/ENCFF076EQV.fastq.gz,SINGLE,input_ENCSR774SAN_rep1,embryonic 4-10 hours,FALSE,eGFP,mixed sex embryo (4-10 hours) strain CG33557-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG33557,ENCFF076EQV,ENCFF080DAK,2,2_1,CG33557,ENCSR774SAN
ENCSR214LWK,CG33557_ENCSR214LWK_rep3,1,https://encode-public.s3.amazonaws.com/2019/04/12/dd42fd2a-7ad5-4471-bfbd-8ecdb58895a2/ENCFF738IVZ.fastq.gz,SINGLE,input_ENCSR774SAN_rep1,embryonic 4-10 hours,FALSE,eGFP,mixed sex embryo (4-10 hours) strain CG33557-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG33557,ENCFF738IVZ,ENCFF080DAK,3,3_1,CG33557,ENCSR774SAN
ENCSR833EEQ,CG34376_ENCSR833EEQ_rep2,1,https://encode-public.s3.amazonaws.com/2018/02/01/a8d265ea-f730-42d2-a3df-e3f2e5fbead5/ENCFF766UNF.fastq.gz,SINGLE,input_ENCSR303RFP_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG34376-GFP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG34376,ENCFF766UNF,ENCFF741IXH,2,2_1,CG34376,ENCSR303RFP
ENCSR833EEQ,CG34376_ENCSR833EEQ_rep3,1,https://encode-public.s3.amazonaws.com/2018/02/01/3bd271b5-bd90-4ff0-a690-ca73d97acc95/ENCFF684AEI.fastq.gz,SINGLE,input_ENCSR303RFP_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG34376-GFP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG34376,ENCFF684AEI,ENCFF741IXH,3,3_1,CG34376,ENCSR303RFP
ENCSR713FWS,CG4282_ENCSR713FWS_rep3,1,https://encode-public.s3.amazonaws.com/2015/07/24/43490e37-9c4e-4f12-a863-9a57c5073857/ENCFF664HJE.fastq.gz,SINGLE,input_ENCSR283AVD_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG4282-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4282,ENCFF664HJE,ENCFF817WNO,3,3_1,CG4282,ENCSR283AVD
ENCSR713FWS,CG4282_ENCSR713FWS_rep4,1,https://encode-public.s3.amazonaws.com/2015/07/24/3c942295-6da4-4766-b951-3b3942d17bbd/ENCFF977LYM.fastq.gz,SINGLE,input_ENCSR283AVD_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG4282-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4282,ENCFF977LYM,ENCFF817WNO,4,4_1,CG4282,ENCSR283AVD
ENCSR302AQS,CG4707_ENCSR302AQS_rep2,1,https://encode-public.s3.amazonaws.com/2018/02/01/8391b78a-842d-4e4a-9e60-8aab0c2be057/ENCFF082IEH.fastq.gz,SINGLE,input_ENCSR114LFX_rep1,embryonic 0-14 hours,FALSE,eGFP,mixed sex embryo (0-14 hours) strain CG4707-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4707,ENCFF082IEH,ENCFF970LUK,2,2_1,CG4707,ENCSR114LFX
ENCSR302AQS,CG4707_ENCSR302AQS_rep3,1,https://encode-public.s3.amazonaws.com/2018/02/01/b625809d-aad3-4c67-9eb3-7ea3ab1b867e/ENCFF817APD.fastq.gz,SINGLE,input_ENCSR114LFX_rep1,embryonic 0-14 hours,FALSE,eGFP,mixed sex embryo (0-14 hours) strain CG4707-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4707,ENCFF817APD,ENCFF970LUK,3,3_1,CG4707,ENCSR114LFX
ENCSR860FUA,CG4854_ENCSR860FUA_rep2,1,https://encode-public.s3.amazonaws.com/2018/01/16/f06272a6-fa1a-4751-a9ea-5e985738802e/ENCFF064AOY.fastq.gz,SINGLE,input_ENCSR100SUV_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG4854-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4854,ENCFF064AOY,ENCFF182AZZ,2,2_1,CG4854,ENCSR100SUV
ENCSR860FUA,CG4854_ENCSR860FUA_rep2,2,https://encode-public.s3.amazonaws.com/2015/07/24/1c7b556e-e1de-481a-89ee-0172641ffad0/ENCFF073ISE.fastq.gz,SINGLE,input_ENCSR100SUV_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG4854-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4854,ENCFF073ISE,ENCFF683WBG,2,2_1,CG4854,ENCSR100SUV
